VRSK,Date
26.305524826049805,2009-10-07 00:00:00-04:00
25.706348419189453,2009-10-08 00:00:00-04:00
25.51306915283203,2009-10-09 00:00:00-04:00
25.36810874938965,2009-10-12 00:00:00-04:00
26.27652931213379,2009-10-13 00:00:00-04:00
27.04965591430664,2009-10-14 00:00:00-04:00
27.358903884887695,2009-10-15 00:00:00-04:00
27.610164642333984,2009-10-16 00:00:00-04:00
26.576114654541016,2009-10-19 00:00:00-04:00
27.117305755615234,2009-10-20 00:00:00-04:00
27.05931854248047,2009-10-21 00:00:00-04:00
26.9530086517334,2009-10-22 00:00:00-04:00
27.416885375976562,2009-10-23 00:00:00-04:00
27.49420166015625,2009-10-26 00:00:00-04:00
27.600500106811523,2009-10-27 00:00:00-04:00
26.759729385375977,2009-10-28 00:00:00-04:00
26.9530086517334,2009-10-29 00:00:00-04:00
26.508468627929688,2009-10-30 00:00:00-04:00
26.450481414794922,2009-11-02 00:00:00-05:00
26.440818786621094,2009-11-03 00:00:00-05:00
26.05425453186035,2009-11-04 00:00:00-05:00
26.382829666137695,2009-11-05 00:00:00-05:00
26.189556121826172,2009-11-06 00:00:00-05:00
26.653423309326172,2009-11-09 00:00:00-05:00
26.74040412902832,2009-11-10 00:00:00-05:00
28.006393432617188,2009-11-11 00:00:00-05:00
27.929080963134766,2009-11-12 00:00:00-05:00
27.929080963134766,2009-11-13 00:00:00-05:00
27.88076400756836,2009-11-16 00:00:00-05:00
26.91435432434082,2009-11-17 00:00:00-05:00
27.542524337768555,2009-11-18 00:00:00-05:00
27.581174850463867,2009-11-19 00:00:00-05:00
27.590839385986328,2009-11-20 00:00:00-05:00
27.44587516784668,2009-11-23 00:00:00-05:00
26.846710205078125,2009-11-24 00:00:00-05:00
26.382829666137695,2009-11-25 00:00:00-05:00
26.0832462310791,2009-11-27 00:00:00-05:00
26.005935668945312,2009-11-30 00:00:00-05:00
26.846710205078125,2009-12-01 00:00:00-05:00
26.585771560668945,2009-12-02 00:00:00-05:00
26.788721084594727,2009-12-03 00:00:00-05:00
27.474870681762695,2009-12-04 00:00:00-05:00
27.77445411682129,2009-12-07 00:00:00-05:00
27.64882469177246,2009-12-08 00:00:00-05:00
27.687477111816406,2009-12-09 00:00:00-05:00
27.44587516784668,2009-12-10 00:00:00-05:00
27.697139739990234,2009-12-11 00:00:00-05:00
28.016056060791016,2009-12-14 00:00:00-05:00
28.31563949584961,2009-12-15 00:00:00-05:00
29.369020462036133,2009-12-16 00:00:00-05:00
29.378690719604492,2009-12-17 00:00:00-05:00
29.53331184387207,2009-12-18 00:00:00-05:00
29.475326538085938,2009-12-21 00:00:00-05:00
29.55263900756836,2009-12-22 00:00:00-05:00
29.649276733398438,2009-12-23 00:00:00-05:00
29.765249252319336,2009-12-24 00:00:00-05:00
29.919872283935547,2009-12-28 00:00:00-05:00
29.958534240722656,2009-12-29 00:00:00-05:00
29.958534240722656,2009-12-30 00:00:00-05:00
29.26271629333496,2009-12-31 00:00:00-05:00
28.84716796875,2010-01-04 00:00:00-05:00
29.040447235107422,2010-01-05 00:00:00-05:00
29.41734504699707,2010-01-06 00:00:00-05:00
29.369020462036133,2010-01-07 00:00:00-05:00
28.99211883544922,2010-01-08 00:00:00-05:00
28.924476623535156,2010-01-11 00:00:00-05:00
29.146751403808594,2010-01-12 00:00:00-05:00
29.137083053588867,2010-01-13 00:00:00-05:00
28.9051456451416,2010-01-14 00:00:00-05:00
27.977401733398438,2010-01-15 00:00:00-05:00
27.010997772216797,2010-01-19 00:00:00-05:00
27.04965591430664,2010-01-20 00:00:00-05:00
27.097972869873047,2010-01-21 00:00:00-05:00
27.068981170654297,2010-01-22 00:00:00-05:00
27.010997772216797,2010-01-25 00:00:00-05:00
27.397558212280273,2010-01-26 00:00:00-05:00
27.929080963134766,2010-01-27 00:00:00-05:00
27.803449630737305,2010-01-28 00:00:00-05:00
27.1752872467041,2010-01-29 00:00:00-05:00
27.455541610717773,2010-02-01 00:00:00-05:00
27.02065658569336,2010-02-02 00:00:00-05:00
27.04965591430664,2010-02-03 00:00:00-05:00
26.817718505859375,2010-02-04 00:00:00-05:00
26.769393920898438,2010-02-05 00:00:00-05:00
26.701744079589844,2010-02-08 00:00:00-05:00
26.904691696166992,2010-02-09 00:00:00-05:00
26.904691696166992,2010-02-10 00:00:00-05:00
27.078645706176758,2010-02-11 00:00:00-05:00
27.358903884887695,2010-02-12 00:00:00-05:00
27.30091667175293,2010-02-16 00:00:00-05:00
27.001331329345703,2010-02-17 00:00:00-05:00
27.05931854248047,2010-02-18 00:00:00-05:00
27.068981170654297,2010-02-19 00:00:00-05:00
27.29125213623047,2010-02-22 00:00:00-05:00
27.068981170654297,2010-02-23 00:00:00-05:00
27.02065658569336,2010-02-24 00:00:00-05:00
