NVDA,Date
0.37623706459999084,1999-01-22 00:00:00-05:00
0.4156525135040283,1999-01-25 00:00:00-05:00
0.38340386748313904,1999-01-26 00:00:00-05:00
0.3822096288204193,1999-01-27 00:00:00-05:00
0.3810151517391205,1999-01-28 00:00:00-05:00
0.36309847235679626,1999-01-29 00:00:00-05:00
0.37026524543762207,1999-02-01 00:00:00-05:00
0.34159955382347107,1999-02-02 00:00:00-05:00
0.3487655222415924,1999-02-03 00:00:00-05:00
0.36787667870521545,1999-02-04 00:00:00-05:00
0.37862566113471985,1999-02-05 00:00:00-05:00
0.3654880225658417,1999-02-08 00:00:00-05:00
0.35115519165992737,1999-02-09 00:00:00-05:00
0.3475711941719055,1999-02-10 00:00:00-05:00
0.37743130326271057,1999-02-11 00:00:00-05:00
0.39893096685409546,1999-02-12 00:00:00-05:00
0.4013197422027588,1999-02-16 00:00:00-05:00
0.37982097268104553,1999-02-17 00:00:00-05:00
0.38579249382019043,1999-02-18 00:00:00-05:00
0.39893096685409546,1999-02-19 00:00:00-05:00
0.4013197422027588,1999-02-22 00:00:00-05:00
0.42042991518974304,1999-02-23 00:00:00-05:00
0.4538739025592804,1999-02-24 00:00:00-05:00
0.43954095244407654,1999-02-25 00:00:00-05:00
0.41923558712005615,1999-02-26 00:00:00-05:00
0.42162418365478516,1999-03-01 00:00:00-05:00
0.41804131865501404,1999-03-02 00:00:00-05:00
0.3893754482269287,1999-03-03 00:00:00-05:00
0.3810151517391205,1999-03-04 00:00:00-05:00
0.4025140106678009,1999-03-05 00:00:00-05:00
0.40848663449287415,1999-03-08 00:00:00-05:00
0.42162418365478516,1999-03-09 00:00:00-05:00
0.4144582152366638,1999-03-10 00:00:00-05:00
0.39654237031936646,1999-03-11 00:00:00-05:00
0.3893754482269287,1999-03-12 00:00:00-05:00
0.4060969650745392,1999-03-15 00:00:00-05:00
0.39295849204063416,1999-03-16 00:00:00-05:00
0.39534813165664673,1999-03-17 00:00:00-05:00
0.4001253843307495,1999-03-18 00:00:00-05:00
0.4013197422027588,1999-03-19 00:00:00-05:00
0.3893754482269287,1999-03-22 00:00:00-05:00
0.3654880225658417,1999-03-23 00:00:00-05:00
0.36309847235679626,1999-03-24 00:00:00-05:00
0.36787667870521545,1999-03-25 00:00:00-05:00
0.4001253843307495,1999-03-26 00:00:00-05:00
0.41206949949264526,1999-03-29 00:00:00-05:00
0.37743130326271057,1999-03-30 00:00:00-05:00
0.40370842814445496,1999-03-31 00:00:00-05:00
0.39176416397094727,1999-04-01 00:00:00-05:00
0.37982097268104553,1999-04-05 00:00:00-04:00
0.37026524543762207,1999-04-06 00:00:00-04:00
0.4013197422027588,1999-04-07 00:00:00-04:00
0.40848663449287415,1999-04-08 00:00:00-04:00
0.4013197422027588,1999-04-09 00:00:00-04:00
0.38459813594818115,1999-04-12 00:00:00-04:00
0.36907100677490234,1999-04-13 00:00:00-04:00
0.35832110047340393,1999-04-14 00:00:00-04:00
0.36787667870521545,1999-04-15 00:00:00-04:00
0.37982097268104553,1999-04-16 00:00:00-04:00
0.36309847235679626,1999-04-19 00:00:00-04:00
0.3559325039386749,1999-04-20 00:00:00-04:00
0.36190423369407654,1999-04-21 00:00:00-04:00
0.3463769853115082,1999-04-22 00:00:00-04:00
0.32965540885925293,1999-04-23 00:00:00-04:00
0.31293389201164246,1999-04-26 00:00:00-04:00
0.3463769853115082,1999-04-27 00:00:00-04:00
0.34398820996284485,1999-04-28 00:00:00-04:00
0.34398820996284485,1999-04-29 00:00:00-04:00
0.3487655222415924,1999-04-30 00:00:00-04:00
0.35115519165992737,1999-05-03 00:00:00-04:00
0.3320441246032715,1999-05-04 00:00:00-04:00
0.3392110764980316,1999-05-05 00:00:00-04:00
0.33264124393463135,1999-05-06 00:00:00-04:00
0.33443278074264526,1999-05-07 00:00:00-04:00
0.33443278074264526,1999-05-10 00:00:00-04:00
0.3523496091365814,1999-05-11 00:00:00-04:00
0.36309847235679626,1999-05-12 00:00:00-04:00
0.36309847235679626,1999-05-13 00:00:00-04:00
0.34398820996284485,1999-05-14 00:00:00-04:00
0.3607097566127777,1999-05-17 00:00:00-04:00
0.37743130326271057,1999-05-18 00:00:00-04:00
0.3607097566127777,1999-05-19 00:00:00-04:00
0.3320441246032715,1999-05-20 00:00:00-04:00
0.32487809658050537,1999-05-21 00:00:00-04:00
0.32368382811546326,1999-05-24 00:00:00-04:00
0.32607245445251465,1999-05-25 00:00:00-04:00
0.32487809658050537,1999-05-26 00:00:00-04:00
0.32248950004577637,1999-05-27 00:00:00-04:00
0.32607245445251465,1999-05-28 00:00:00-04:00
0.3272669017314911,1999-06-01 00:00:00-04:00
0.3153226673603058,1999-06-02 00:00:00-04:00
0.32368382811546326,1999-06-03 00:00:00-04:00
0.32607245445251465,1999-06-04 00:00:00-04:00
0.32965540885925293,1999-06-07 00:00:00-04:00
0.33801668882369995,1999-06-08 00:00:00-04:00
0.34398820996284485,1999-06-09 00:00:00-04:00
0.3451826274394989,1999-06-10 00:00:00-04:00
0.33801668882369995,1999-06-11 00:00:00-04:00
0.32487809658050537,1999-06-14 00:00:00-04:00
0.32487809658050537,1999-06-15 00:00:00-04:00
0.33443278074264526,1999-06-16 00:00:00-04:00
0.32487809658050537,1999-06-17 00:00:00-04:00
0.31293389201164246,1999-06-18 00:00:00-04:00
0.32965540885925293,1999-06-21 00:00:00-04:00
0.32368382811546326,1999-06-22 00:00:00-04:00
